aug_k,aug_path,aug_rms_reproj_px,aug_roll_rad,aug_x_m,aug_y_m,aug_z_m,augtype,base,best_patch_index,best_patch_score_rms_reproj_px,chosen_patch_box,delta_w_angle_deg,delta_x_m,delta_y_m,delta_z_m,idx,orig_path,orig_rms_reproj_px,orig_roll_rad,orig_x_m,orig_y_m,orig_z_m,patch_mode
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_blackbox_1.jpg,305.183800081475,2.5221517995024483,3.7433208947917542,1.7483566653412752,-5.336889781494371,blackbox,gt,11,293.07709616407635,"(np.int64(768), np.int64(864), np.int64(1536), np.int64(1296))",91.96229820325223,3.74359778827317,1.4581433369135506,-5.445182621866604,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,280.9703922466777,2.559564452144665,-0.00027689348141592634,0.29021332842772457,0.1082928403722333,True
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_blackbox_2.jpg,309.1702436216129,100.54984392943356,-5.516621749894583,2.5070674639707162,-8.53990704708679,blackbox,gt,11,295.0703179341453,"(np.int64(768), np.int64(864), np.int64(1536), np.int64(1296))",93.45898156572747,-5.516344856413166,2.2168541355429916,-8.648199887459024,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,280.9703922466777,2.559564452144665,-0.00027689348141592634,0.29021332842772457,0.1082928403722333,True
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_blackbox_3.jpg,280.9703922466777,2.559564452144665,-0.00027689348141592634,0.29021332842772457,0.1082928403722333,blackbox,gt,11,280.9703922466777,"(np.int64(768), np.int64(864), np.int64(1536), np.int64(1296))",0.00011459029153797541,0.0,0.0,0.0,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,280.9703922466777,2.559564452144665,-0.00027689348141592634,0.29021332842772457,0.1082928403722333,True
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_rotation_1.jpg,305.49605250464083,2.95271424605874,5.669924475461368,3.345502996550888,-9.331774600688338,rotation,gt,11,293.23322237565924,"(np.int64(768), np.int64(864), np.int64(1536), np.int64(1296))",90.6677124428143,5.670201368942784,3.055289668123163,-9.44006744106057,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,280.9703922466777,2.559564452144665,-0.00027689348141592634,0.29021332842772457,0.1082928403722333,True
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_rotation_2.jpg,307.28448997581984,1.4158985843586567,4.622669634980489,-3.2782250457655424,-7.9699432674017405,rotation,gt,11,294.1274411112488,"(np.int64(768), np.int64(864), np.int64(1536), np.int64(1296))",126.82737081275066,4.622946528461905,-3.568438374193267,-8.078236107773973,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,280.9703922466777,2.559564452144665,-0.00027689348141592634,0.29021332842772457,0.1082928403722333,True
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_rotation_3.jpg,304.85287988111725,2.927819092038937,-0.0015272783615813718,-4.781573331684977,-6.5441521994252,rotation,gt,11,292.9116360638975,"(np.int64(768), np.int64(864), np.int64(1536), np.int64(1296))",146.61719750842957,-0.0012503848801654455,-5.071786660112702,-6.652445039797434,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,280.9703922466777,2.559564452144665,-0.00027689348141592634,0.29021332842772457,0.1082928403722333,True
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_translation_1.jpg,306.90321503047966,-1.733585850220459,-0.0009009338016754439,-6.136798509635593,-8.719935279632617,translation,gt,11,293.9368036385787,"(np.int64(768), np.int64(864), np.int64(1536), np.int64(1296))",145.59957282169756,-0.0006240403202595177,-6.427011838063318,-8.82822812000485,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,280.9703922466777,2.559564452144665,-0.00027689348141592634,0.29021332842772457,0.1082928403722333,True
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_translation_2.jpg,308.53364840388974,0.6937186498933395,4.26115806808134,-4.061732832790296,-8.343231972191472,translation,gt,11,294.75202032528375,"(np.int64(768), np.int64(864), np.int64(1536), np.int64(1296))",131.20126387367253,4.261434961562756,-4.351946161218021,-8.451524812563704,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,280.9703922466777,2.559564452144665,-0.00027689348141592634,0.29021332842772457,0.1082928403722333,True
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_gt_translation_3.jpg,305.46873463587235,-2.888034170026194,5.627870643837706,-2.4627523360932786,-8.729663894449054,translation,gt,11,293.219563441275,"(np.int64(768), np.int64(864), np.int64(1536), np.int64(1296))",120.16771140277818,5.628147537319123,-2.752965664521003,-8.837956734821287,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_gt.jpg,280.9703922466777,2.559564452144665,-0.00027689348141592634,0.29021332842772457,0.1082928403722333,True
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0000_moire_blackbox_1.jpg,304.89921475867214,3.141592653589793,-5.069489647802498,2.701412473244844,-7.8423329387855745,blackbox,moire,1,288.8326204955057,"(np.int64(768), np.int64(0), np.int64(1536), np.int64(432))",94.6016543370654,-5.069221510217817,3.007856437221975,-7.768298772642124,0000,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0000_moire.jpg,272.7660262323393,2.4410907664253836,-0.0002681375846805226,-0.3064439639771309,-0.07403416614345004,True
